"","time","value"
"1993-10",269359,99.8119644398369
"1993-11",261585,85.0473667078003
"1993-12",271250,83.7485206352293
"1994-01",272211,45.6408535608357
"1994-02",246694,58.3597268484896
"1994-03",274040,71.8623435936906
"1994-04",266115,92.1484878637327
"1994-05",275931,141.314550739101
"1994-06",267945,109.997957159894
"1994-07",277822,32.9575818816861
"1994-08",278783,74.8954611573168
"1994-09",270705,61.0262442766156
"1994-10",280674,94.6197670098171
"1994-11",272535,84.3320083245506
"1994-12",282565,84.1837205125297
"1995-01",283526,70.0153710551109
"1995-02",256914,78.6306094337921
"1995-03",285355,85.8261221552364
"1995-04",277065,77.2333731536694
"1995-05",287246,122.452433313913
"1995-06",278895,103.580581902964
"1995-07",289137,87.2541685126854
"1995-08",290098,84.5974305431425
"1995-09",281655,105.169416431912
"1995-10",291989,100.801469645059
"1995-11",283485,58.9874452255812
"1995-12",293880,39.9734252492209
"1996-01",294841,41.8148709023237
"1996-02",276689,59.3976159936056
"1996-03",296701,63.5355694815096
"1996-04",288045,72.4856745694752
"1996-05",298592,68.9625519948306
"1996-06",289875,91.5669243512546
"1996-07",300483,40.9425192658876
"1996-08",301444,78.2954333427482
"1996-09",292635,96.0631616484757
"1996-10",303335,101.131356655939
"1996-11",294465,74.6838326872071
"1996-12",305226,64.2713808262402
"1997-01",306187,47.7586124656223
"1997-02",277382,42.3496385392073
"1997-03",308016,73.8080858715726
"1997-04",298995,46.479014986391
"1997-05",309907,120.876806933623
"1997-06",300825,88.9915251147536
"1997-07",311798,109.676429123472
"1997-08",312759,84.6816644178326
"1997-09",303585,60.5124785735327
"1997-10",314650,143.450369130773
"1997-11",305415,84.8540119149058
"1997-12",316541,57.0008398209761
"1998-01",317502,48.6213978250816
"1998-02",287602,81.5928150385582
"1998-03",319331,60.0626372795752
"1998-04",309945,57.523451153505
"1998-05",321222,166.583649968331
"1998-06",311775,88.8145698497894
"1998-07",323113,101.03741090581
"1998-08",324074,72.284126436113
"1998-09",314535,106.715593790711
"1998-10",325965,79.7682825375989
"1998-11",316365,45.9887327925493
"1998-12",327856,16.5380772740504
"1999-01",328817,23.2359363321287
"1999-02",297822,35.2960213498114
"1999-03",330646,48.1697073131895
"1999-04",320895,38.7263273443566
"1999-05",332537,37.4710450607222
"1999-06",322725,101.159671738146
"1999-07",334428,100.56507551413
"1999-08",335389,79.4212653058089
"1999-09",325485,107.704636730693
"1999-10",337280,59.3928832249687
"1999-11",327315,39.0440538117573
"1999-12",339171,16.0070479625887
"2000-01",340132,30.019285694039
"2000-02",319058,17.0461980079572
"2000-03",341992,64.2597267441879
"2000-04",331875,81.1794426523325
"2000-05",343883,67.46933123014
"2000-06",333705,109.909986719997
"2000-07",345774,95.9611337884301
"2000-08",346735,78.0011604002566
"2000-09",336465,101.515395738448
"2000-10",348626,85.6083430387852
"2000-11",338295,48.7646265724774
"2000-12",350517,40.0353762852253
"2001-01",351478,36.1059592492517
"2001-02",318290,43.9686572013005
"2001-03",353307,57.3129060193832
"2001-04",342825,51.4200416060643
"2001-05",355198,107.773260169896
"2001-06",344655,108.900055658937
"2001-07",357089,57.438941725443
"2001-08",358050,64.6418013665078
"2001-09",347415,56.7506936957505
"2001-10",359941,85.3160348601063
"2001-11",349245,75.499073540903
"2001-12",361832,73.493832233334
"2002-01",362793,47.0988508080325
"2002-02",328510,44.4794295155686
"2002-03",364622,71.0935881254333
"2002-04",353775,61.6971889247705
"2002-05",366513,131.536455971729
"2002-06",355605,115.676115175477
"2002-07",368404,92.1971381657532
"2002-08",369365,74.3029357540196
"2002-09",358365,130.725352871508
"2002-10",371256,102.211997987364
"2002-11",360195,96.7758195143251
"2002-12",373147,89.017167453044
"2003-01",374108,70.2626985400153
"2003-02",338730,76.4559808392557
"2003-03",375937,74.0391924887865
"2003-04",364725,65.1505335914634
"2003-05",377828,143.047262822169
"2003-06",366555,97.502559423958
"2003-07",379719,86.6493315013912
"2003-08",380680,77.5300824008127
"2003-09",369315,113.861887729627
"2003-10",382571,81.4556210083088
"2003-11",371145,64.7986928120495
"2003-12",384462,58.5675443851131
"2004-01",385423,56.4494918611848
"2004-02",361427,57.5966202390403
"2004-03",387283,67.9037465202369
"2004-04",375705,102.661775093342
"2004-05",389174,116.768501653154
"2004-06",377535,100.184732582355
"2004-07",391065,11.3627525915234
"2004-08",392026,80.4349796959156
"2004-09",380295,121.625819739212
"2004-10",393917,106.506810199897
"2004-11",382125,84.6909243922808
"2004-12",395808,59.8846006519991
"2005-01",396769,49.0951321856587
"2005-02",359198,80.7859109767991
"2005-03",398598,65.171582990507
"2005-04",386655,88.0463611146888
"2005-05",400489,149.210828181116
"2005-06",388485,95.8030227308715
"2005-07",402380,13.07496865542
"2005-08",403341,74.4785226795294
"2005-09",391245,139.419422224278
"2005-10",405232,86.7145425099091
"2005-11",393075,62.5651048652683
"2005-12",407123,56.0753032186666
"2006-01",408084,48.9147432634664
"2006-02",369418,67.4084584920688
"2006-03",409913,51.5422151034969
"2006-04",397605,61.7849210299535
"2006-05",411804,72.3523531440173
"2006-06",399435,107.697965353669
"2006-07",413695,24.9176465279713
"2006-08",414656,66.8938138310066
"2006-09",402195,113.128572632343
"2006-10",416547,109.351277269825
"2006-11",404025,86.1313788548195
"2006-12",418438,53.5508314434491
"2007-01",419399,55.9500951066918
"2007-02",379638,76.7300999402796
"2007-03",421228,64.2582810873786
"2007-04",408555,60.724047581246
"2007-05",423119,98.661458272249
"2007-06",410385,96.5177756081171
"2007-07",425010,99.5141478771618
"2007-08",425971,75.3941512332248
"2007-09",413145,98.6154934065058
"2007-10",427862,91.1233649078301
"2007-11",414975,64.3873668751319
"2007-12",429753,16.5397169418034
"2008-01",430714,33.8909760100114
"2008-02",403796,29.5804394935966
"2008-03",432574,62.6151927188117
"2008-04",419535,26.9103632945232
"2008-05",434465,39.0801669298864
"2008-06",421365,102.99703199893
"2008-07",436356,85.8185750715717
"2008-08",437317,76.573666013774
"2008-09",424125,91.4114643900598
"2008-10",439208,84.5416915422084
"2008-11",425955,52.7203242683386
"2008-12",441099,35.2745885997835
"2009-01",442060,42.8484787151994
"2009-02",400106,52.0708695813155
"2009-03",443889,73.060301576396
"2009-04",430485,77.991267744682
"2009-05",445780,111.407214975973
"2009-06",432315,106.396454685808
"2009-07",447671,69.6014479285756
"2009-08",448632,80.998318779274
"2009-09",435075,83.6506693741688
"2009-10",450523,89.8817963318105
"2009-11",436905,99.8835945565814
"2009-12",452414,63.5461358231124
"2010-01",453375,62.7707203011081
"2010-02",410326,83.9000836033814
"2010-03",455204,88.9641832597909
"2010-04",441435,57.8072405941206
"2010-05",457095,120.144059693499
"2010-06",443265,92.1538522492297
"2010-07",458986,7.05717522246164
"2010-08",459947,82.3959566795484
"2010-09",446025,113.186456165346
"2010-10",461838,76.3657486710311
"2010-11",447855,23.8411341092568
"2010-12",463729,6.57663072357628
